City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
96,Arraial Do Cabo,BR,2021-02-07 16:53:01,-22.9661,-42.0278,77.0,83,75,9.22
97,Dvinskoy,RU,2021-02-07 17:01:55,62.1535,45.1175,-17.36,86,100,7.38
98,Saldanha,ZA,2021-02-07 16:56:59,-33.0117,17.9442,73.4,46,0,23.02
99,Saint-Joseph,RE,2021-02-07 17:00:52,-21.3667,55.6167,80.6,78,20,1.14
100,Muddebihal,IN,2021-02-07 17:01:58,16.3333,76.1333,73.36,28,4,9.86
101,Namibe,AO,2021-02-07 16:59:22,-15.1961,12.1522,73.87,74,97,9.8
102,Plettenberg Bay,ZA,2021-02-07 16:53:34,-34.0527,23.3716,66.31,75,98,6.38
103,Skibbereen,IE,2021-02-07 17:02:01,51.55,-9.2667,37.4,87,75,21.85
104,Hofn,IS,2021-02-07 17:02:02,64.2539,-15.2082,36.59,83,100,17.83
105,Hermanus,ZA,2021-02-07 16:53:02,-34.4187,19.2345,69.01,69,46,4.0
106,Muisne,EC,2021-02-07 16:57:05,0.6,-80.0333,82.4,89,75,6.91
107,Carnarvon,AU,2021-02-07 17:00:07,-24.8667,113.6333,78.8,100,12,12.66
108,Upernavik,GL,2021-02-07 16:56:56,72.7868,-56.1549,18.46,80,18,3.47
109,Spasskoye,RU,2021-02-07 17:02:08,44.6108,132.7969,-3.91,92,100,4.29
110,Sao Filipe,CV,2021-02-07 17:02:09,14.8961,-24.4956,71.04,69,74,8.81
111,Broken Hill,AU,2021-02-07 17:01:33,-31.95,141.4333,66.2,42,0,11.5
112,Hami,CN,2021-02-07 16:54:10,42.8,93.45,30.43,81,43,2.95
113,Bredasdorp,ZA,2021-02-07 16:53:15,-34.5322,20.0403,69.8,52,71,10.36
114,Isiolo,KE,2021-02-07 17:02:13,0.3546,37.5822,73.47,63,100,4.29
115,Lorengau,PG,2021-02-07 17:01:11,-2.0226,147.2712,81.68,80,97,8.23
116,Ngunguru,NZ,2021-02-07 17:02:15,-35.6167,174.5,59.0,90,80,1.01
117,Tasiilaq,GL,2021-02-07 17:02:16,65.6145,-37.6368,21.2,58,0,3.44
118,Sao Gabriel Da Cachoeira,BR,2021-02-07 17:02:18,-0.1303,-67.0892,84.2,79,75,5.75
119,Thompson,CA,2021-02-07 16:56:24,55.7435,-97.8558,-36.4,67,75,13.8
120,Kolosovka,RU,2021-02-07 17:02:20,56.4678,73.611,5.54,92,100,19.42
121,Moose Factory,CA,2021-02-07 17:02:21,51.2585,-80.6094,-7.6,70,75,5.75
122,Varkkallai,IN,2021-02-07 17:02:22,8.7341,76.7067,84.2,70,20,2.3
123,Vavuniya,LK,2021-02-07 17:02:23,8.7514,80.4971,72.19,98,94,3.96
124,Grand Gaube,MU,2021-02-07 17:02:24,-20.0064,57.6608,81.0,77,79,5.99
125,Khatanga,RU,2021-02-07 16:55:18,71.9667,102.5,-31.85,79,0,9.06
126,Moron,AR,2021-02-07 17:02:01,-34.6534,-58.6198,91.99,33,0,3.0
127,Atuona,PF,2021-02-07 16:54:47,-9.8,-139.0333,79.32,75,44,21.56
128,Yeppoon,AU,2021-02-07 16:57:36,-23.1333,150.7333,80.6,78,90,4.74
129,Pitimbu,BR,2021-02-07 16:57:53,-7.4706,-34.8086,89.6,58,75,12.66
