City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
572,Santo Antonio,BR,82.4,few clouds,-6.3106,-35.4789,Hotel Onça Puma
575,Olmos,PE,87.82,few clouds,-5.9847,-79.7453,Hospedaje El Olmo
577,Kayankulam,IN,72.84,few clouds,9.1833,76.5,Hotel Royal Indraprastha
578,Mundo Nuevo,MX,75.7,scattered clouds,18.7,-95.5,
579,Tomohon,ID,75.2,scattered clouds,1.3346,124.8392,Gardenia Country Inn
582,Soyo,AO,80.74,overcast clouds,-6.1349,12.3689,Hotel Mpampa
583,Chiredzi,ZW,73.09,overcast clouds,-21.05,31.6667,The Nesbitt Arms
588,Grand Gaube,MU,77.0,moderate rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
590,Kyabe,TD,70.11,broken clouds,9.4515,18.9449,
591,Karaton,ID,79.0,moderate rain,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
593,Binabalian,PH,78.37,clear sky,16.4202,119.9279,Sundowners Vacation Villas
595,Bonfim,BR,84.2,few clouds,3.0833,-59.95,
599,Portobelo,PA,84.99,scattered clouds,9.55,-79.65,Scuba Portobelo
600,Presidencia Roque Saenz Pena,AR,87.78,clear sky,-26.7852,-60.4388,Hotel Gualok
602,Fomboni,KM,83.75,moderate rain,-12.28,43.7425,Auberge les abou
603,Balabac,PH,80.4,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
610,Navolato,MX,81.0,broken clouds,24.7672,-107.6944,Cofradía de San pedro Navolato sinaloa
614,Port-Gentil,GA,78.8,few clouds,-0.7193,8.7815,Fengshui Residence
617,Buin,CL,78.8,clear sky,-33.7333,-70.75,Paihuen
620,Sri Aman,MY,75.2,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
621,Camacari,BR,84.2,scattered clouds,-12.6975,-38.3242,Sítio Blasi
624,San-Pedro,CI,79.0,overcast clouds,4.7485,-6.6363,Hotel Maria
630,Santa Rosa,PH,77.0,few clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
645,Jilib,SO,74.66,clear sky,0.4883,42.7854,
651,Kilindoni,TZ,82.31,overcast clouds,-7.9139,39.6668,Bustani B&B
653,Gympie,AU,71.01,broken clouds,-26.1898,152.665,Mary River Motor Inn
655,Richards Bay,ZA,74.68,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
659,San Andres,CO,80.53,scattered clouds,12.5847,-81.7006,Hotel Arena Blanca
